flag,length_class,n_vessel_years,f_transit_med,f_transit_q25,f_transit_q75
DEU,Over 50m,78,0.386659215405054,0.31456312428904,0.470983314028891
DEU,,8,0.342315874084923,0.30272352119137,0.410906299095484
DJI,12-24m,9,0.445710831647605,0.263727944049328,0.50425121646054
DJI,24-50m,3,0.618544285721531,0.462680194693459,0.711712599295356
DJI,Over 50m,4,0.454450237218918,0.408851458101126,0.54805131211461
DMA,12-24m,7,0.53628132747933,0.524071088264369,0.619960116030113
DMA,24-50m,6,0.473728871344757,0.238044587692283,0.750772715147193
DMA,Over 50m,3,0.317855303476277,0.309043753618876,0.343848083481869
DNK,12-24m,3094,0.325361054611628,0.215857141291329,0.480180648246054
DNK,24-50m,773,0.39182162902384,0.272896867664535,0.542533226348441
DNK,6-12m,78,0.243066948726401,0.121690782646955,0.380249160772156
DNK,Over 50m,157,0.622756013573777,0.394718666351589,0.736617171173304
DNK,,14,0.616717824981337,0.49774943046431,0.750849784347688
DZA,12-24m,6,0.335565529086271,0.234465679530837,0.450192633291192
DZA,24-50m,104,0.731224705255331,0.673420740452606,0.792051704376496
DZA,Over 50m,2,0.784893792850005,0.770547639779621,0.799239945920389
DZA,,4,0.730579296672309,0.70851930954271,0.745578178252121
ECU,12-24m,127,0.737912911048759,0.628532309747522,0.79673961589747
ECU,24-50m,237,0.601954297248344,0.482243687417691,0.729124734233462
ECU,6-12m,13,0.6182448285447,0.577163615685976,0.657587053289686
ECU,Over 50m,310,0.780447515074535,0.706075172951364,0.864451370602926
ECU,,2,0.901274474864342,0.895718509441581,0.906830440287104
EGY,12-24m,24,0.550509575202871,0.350163676876652,0.621230230133596
EGY,24-50m,31,0.826793865314625,0.725893317510574,0.876277718582678
ERI,12-24m,11,0.487948127643578,0.403001767689352,0.624054916392613
ERI,24-50m,1,0.393076957153364,0.393076957153364,0.393076957153364
ESH,12-24m,3,0.344341603227632,0.327659984232552,0.370716011808351
ESH,24-50m,5,0.182003295888286,0.120941127798948,0.775660506206588
ESH,Over 50m,2,0.445841710020997,0.43528042596526,0.456402994076735
ESP,12-24m,10123,0.435605479822028,0.267528252933224,0.594787743874995
ESP,24-50m,5642,0.440465467496044,0.295845540289834,0.635605783700208
ESP,6-12m,11,0.545441094065411,0.390377212447512,0.703420559704642
ESP,Over 50m,563,0.409636431496532,0.317879109115109,0.725429996708035
ESP,,282,0.600918225687089,0.418116460293582,0.747219074327985
EST,12-24m,59,0.39736113394986,0.333770247421801,0.563321106679188
EST,24-50m,191,0.382226626516962,0.317618267770716,0.482765756871089
EST,Over 50m,44,0.189660997479655,0.17629750527829,0.267177172142398
ETH,12-24m,1,0.696492428759347,0.696492428759347,0.696492428759347
ETH,24-50m,1,0.13727471064084,0.13727471064084,0.13727471064084
FIN,12-24m,167,0.545655820173738,0.378295322430798,0.840038721999881
FIN,24-50m,219,0.39974705321647,0.287345394564344,0.518792546368423
FIN,,1,0.963230277786206,0.963230277786206,0.963230277786206
FJI,12-24m,48,0.329459553389063,0.282083887745308,0.456784130750823
FJI,24-50m,401,0.304781897612752,0.232224111562813,0.429739461061458
FJI,,8,0.526801447649368,0.376938569002702,0.673758011612855
FLK,12-24m,8,0.53278996691543,0.482899501268638,0.552904678543448
FLK,24-50m,4,0.263800829856924,0.22544923905651,0.331477066202296
FLK,Over 50m,177,0.526657948235401,0.465129113482523,0.593839103366928
FRA,12-24m,7465,0.356104810230982,0.248043625979209,0.4969238286223
FRA,24-50m,1938,0.340991333668981,0.240739984814643,0.487900365448025
FRA,6-12m,187,0.355728510005496,0.259968459626375,0.54778245846078
FRA,Over 50m,286,0.630906505317505,0.524203028527392,0.723817616484873
FRA,,110,0.518508811667166,0.385858050842501,0.697651780478007
FRO,12-24m,429,0.387093172185932,0.268051465562738,0.566812798365843
FRO,24-50m,496,0.241731867331867,0.146919560567572,0.309103886193193
FRO,6-12m,1,0.402622486208943,0.402622486208943,0.402622486208943
FRO,Over 50m,213,0.392837688025583,0.295320086735779,0.498865444763276
FRO,,34,0.51642689006893,0.397891888455569,0.740032157880065
FSM,12-24m,11,0.307165036806075,0.240743881604165,0.434825269064836
FSM,24-50m,154,0.481365492135322,0.407322731897971,0.539989037212631
FSM,Over 50m,185,0.739433519296439,0.682801785669669,0.825140850651814
FSM,,1,0.962519862159763,0.962519862159763,0.962519862159763
GAB,12-24m,7,0.26533106824226,0.176837764377618,0.491824915458438
GAB,24-50m,27,0.409965105771797,0.303444275030769,0.644434700664495
GBR,12-24m,6191,0.295312358406797,0.173143572422266,0.487104058620098
GBR,24-50m,2407,0.295665250439035,0.158553620408448,0.515511053814338
GBR,6-12m,414,0.251754317453051,0.10988121111143,0.419745864517337
GBR,Over 50m,306,0.839207069669736,0.758150049851992,0.900187226949988
GBR,,41,0.590694036910224,0.211170379925532,0.756544627642654
GEO,12-24m,55,0.486137122327267,0.342082851441994,0.673467563673493
GEO,24-50m,129,0.628495451211293,0.34208822127162,0.751875360646278
GEO,Over 50m,19,0.491559854696225,0.369692746110476,0.527968000611219
GHA,12-24m,13,0.770156301679645,0.415733740000037,0.959139187852545
GHA,24-50m,251,0.501750445830215,0.182500308805833,0.716342022284542
GHA,Over 50m,162,0.71590998595392,0.655012302059141,0.779764719505131
GHA,,3,0.436245735908365,0.385948265917584,0.669738827571751
GIB,12-24m,13,0.471833196895221,0.297499692132608,0.574846665318018
GIB,24-50m,18,0.438981232273637,0.155130646533997,0.562232348354091
GIB,Over 50m,2,0.748556460910384,0.689034868640415,0.808078053180353
GIN,12-24m,5,0.485897111778722,0.268575332358052,0.630772439575778
GIN,24-50m,11,0.398514773461233,0.180022775868124,0.500435901716897
GIN,Over 50m,31,0.419693408651517,0.345064358125678,0.568641682007346
GLP,12-24m,9,0.545560612637134,0.243672724823466,0.775608027132931
GMB,12-24m,11,0.622252152744297,0.465639267031961,0.758861618811265
GMB,24-50m,27,0.445611746928416,0.170773036636997,0.538388454842466
GMB,Over 50m,6,0.384215428080515,0.202809417446801,0.697305093703669
GNB,12-24m,1,0.798357348811966,0.798357348811966,0.798357348811966
GNB,24-50m,24,0.244758001910257,0.131961705089452,0.470220287188038
GNB,Over 50m,49,0.464462460143052,0.396322703946503,0.585379063403348
GNQ,12-24m,6,0.542012762414344,0.526047763153935,0.66308380881247
GNQ,24-50m,8,0.50067348221802,0.426971718223204,0.707821562698876
GNQ,6-12m,2,0.698200160350926,0.615805957748179,0.780594362953673
GRC,12-24m,1488,0.500707937731418,0.256364145390201,0.692714269901495
GRC,24-50m,1192,0.327075457631508,0.197914296273424,0.484310462424706
GRC,Over 50m,3,0.439384858044164,0.403142084689231,0.515584385569919
GRC,,91,0.591302548530483,0.388688103286655,0.734713351209407
GRD,12-24m,54,0.291424981129852,0.197450718469167,0.510365367362982
GRD,24-50m,23,0.475529061826838,0.350168767809949,0.709826647754782
GRL,12-24m,170,0.727811345876388,0.604177754459211,0.784285073013684
GRL,24-50m,67,0.267175684580551,0.196044303319128,0.660135277596767
GRL,Over 50m,138,0.256651273037267,0.217004370500498,0.338229997909534
GTM,12-24m,9,0.515365408403037,0.308676217588272,0.655586678024312
GTM,24-50m,26,0.498907400333328,0.365188637608882,0.638498348646162
GTM,Over 50m,18,0.753055835236938,0.695426475572343,0.850398126145524
GUF,12-24m,4,0.275700830876544,0.232275008007445,0.323511950228804
GUF,24-50m,7,0.464267724925229,0.287860655483679,0.520537948855648
GUY,12-24m,8,0.27933780199386,0.25198876976679,0.509882165923874
GUY,24-50m,4,0.662929274110036,0.435629715197576,0.862838865313697
GUY,Over 50m,2,0.61741844817849,0.601226178622076,0.633610717734904
HKG,12-24m,55,0.274085675022441,0.164509977177422,0.43960547142536
HKG,24-50m,97,0.520942611833495,0.288670790592176,0.701989498442299
HKG,Over 50m,13,0.712202207457173,0.692756428748714,0.735377859715087
HND,12-24m,11,0.477766485276186,0.344540422383459,0.520108089949764
HND,24-50m,8,0.723618770603991,0.678195120987123,0.736018702429439
HND,Over 50m,1,0.488985756343245,0.488985756343245,0.488985756343245
HRV,12-24m,1061,0.208256948680331,0.103155439540476,0.418845558535678
HRV,24-50m,700,0.394442757276341,0.236501377582378,0.497194818417908
HRV,6-12m,16,0.2684673265295,0.176579216783246,0.447573362814895
HRV,,6,0.393101255875774,0.154835612848026,0.685332525483149
HTI,12-24m,8,0.39119201874745,0.243226135872205,0.538954953681649
HTI,24-50m,4,0.631621387863178,0.46172204245364,0.717713388278443
HUN,12-24m,3,0.440355844183542,0.381093335921544,0.469796239240666
HUN,24-50m,10,0.288829917987285,0.133872690634883,0.473575522355001
IDN,12-24m,364,0.464886845071484,0.246301750433457,0.67991004440398
IDN,24-50m,1298,0.225478023840914,0.133403144556086,0.433722370044984
IDN,Over 50m,12,0.771943313474597,0.685025397097463,0.823382064580301
IDN,,424,0.742192679612677,0.596424593685103,0.837918763518669
IMN,12-24m,19,0.443911710520551,0.299528423049358,0.700340403581378
IND,12-24m,2863,0.513237088312465,0.392952344122066,0.654862058990739
IND,24-50m,1898,0.500051238495335,0.35879570621752,0.643602805606214
IND,Over 50m,5,0.550610232081564,0.484605798863763,0.74126021358945
IRL,12-24m,959,0.318826813219609,0.204446118297497,0.513264351145221
IRL,24-50m,965,0.419430013917036,0.242928528449777,0.704867926552644
IRL,6-12m,99,0.209480186627843,0.07696196712715,0.389850048150975
IRL,Over 50m,143,0.782555101511662,0.743483216842467,0.85125786584649
IRL,,18,0.643896939940975,0.393679052705851,0.797295059643949
IRN,12-24m,429,0.468629026562352,0.36622832913474,0.625870854356387
IRN,24-50m,1784,0.578016378099667,0.43418768310933,0.744612470049949
IRN,6-12m,1,0.427907792756153,0.427907792756153,0.427907792756153
IRN,Over 50m,257,0.686741809910245,0.544484749444147,0.806812436850265
IRN,,6,0.742972730715113,0.457289759606255,0.786137535739295
IRQ,12-24m,45,0.406296282573913,0.239354016294257,0.595320311209409
IRQ,24-50m,81,0.427876700649515,0.234628599385392,0.641705403275172
IRQ,Over 50m,2,0.628826819904996,0.622780655372498,0.634872984437493
ISL,12-24m,6671,0.435952343591611,0.323395162416691,0.579290046873967
ISL,24-50m,1055,0.348738949851514,0.280740372903376,0.458266794763847
ISL,6-12m,693,0.470407268282165,0.352846596015316,0.611719453806265
ISL,Over 50m,396,0.41253261116329,0.263396570130732,0.504715393806311
ISL,,106,0.549826943837558,0.341062790351436,0.719088471929291
ISR,12-24m,114,0.119476638069835,0.0593436643364171,0.22535636258991
ISR,24-50m,24,0.442671210688406,0.343164274407656,0.501118473396641
ITA,12-24m,11104,0.207860282279615,0.119051177083877,0.364486932170061
ITA,24-50m,2489,0.332623969071877,0.197058119225441,0.569817285092881
ITA,Over 50m,10,0.754950138729979,0.623456056351308,0.873537630196615
ITA,,182,0.465410515065879,0.25378275548539,0.637139756741999
JAM,12-24m,4,0.602334792800721,0.502914190866253,0.707787367304141
JAM,24-50m,2,0.713110076323344,0.680793885335959,0.745426267310728
JOR,12-24m,13,0.380369211188782,0.296323816840592,0.459506723137447
JOR,24-50m,12,0.491291254609347,0.45126352832469,0.547426611902479
JPN,12-24m,11126,0.581287624289875,0.44098389252385,0.730537207604959
JPN,24-50m,3960,0.686685829675112,0.478616785796287,0.836562906812304
JPN,6-12m,76,0.691188837026864,0.460721803173355,0.814932170605072
JPN,Over 50m,1988,0.525486779361423,0.373891815748704,0.712019901009054
JPN,,75,0.79493079124243,0.617980638418775,0.920939000809466
KAZ,12-24m,4,0.577832889475434,0.44310383171973,0.685956279178056
KAZ,24-50m,20,0.469965422243907,0.434698996167264,0.535068751422583
KEN,12-24m,5,0.513112342689033,0.459315353120464,0.756806258812235
KEN,24-50m,29,0.50557670117961,0.418080779891018,0.614828938223762
KEN,Over 50m,6,0.798755783671945,0.561463417404508,0.845294660533291
KGZ,12-24m,22,0.442944197996402,0.25047508885916,0.701139967576546
KGZ,24-50m,12,0.578986680856494,0.422822064812851,0.782565114868466
KHM,12-24m,168,0.616334574025952,0.463004960957357,0.786666572947875
KHM,24-50m,22,0.549980954568754,0.385286516402142,0.603638858613052
KHM,6-12m,4,0.855086782459116,0.838268613593679,0.888204281393998
KHM,Over 50m,2,0.604238533761047,0.598371529472134,0.610105538049959
KIR,24-50m,43,0.470221598405039,0.343497389493725,0.598830487660317
KIR,Over 50m,108,0.75876121824696,0.680333705370774,0.870928851875826
KIR,,1,0.216703222697818,0.216703222697818,0.216703222697818
KNA,12-24m,13,0.532219173228663,0.411651936325522,0.562658018835763
KNA,24-50m,2,0.241248816425012,0.224924809614822,0.257572823235202
KNA,Over 50m,12,0.75520508142871,0.49035925899178,0.955705659085671
KOR,12-24m,12111,0.509908434487909,0.351934170531253,0.682115873149661
KOR,24-50m,9465,0.507268537411713,0.366701679534458,0.678232438762195
KOR,6-12m,48,0.693535261280888,0.580748137987995,0.819069512931668
KOR,Over 50m,1936,0.439418419556958,0.322503888112191,0.670790086750724
KOR,,2,0.676463896997771,0.596336803831536,0.756590990164006
KWT,12-24m,198,0.179291142797081,0.149986121059073,0.268844334447445
KWT,24-50m,72,0.152804593242458,0.130760224660185,0.211362427702325
LAO,12-24m,6,0.428226254685671,0.320723194049106,0.466231685965039
LAO,24-50m,1,0.537047304297615,0.537047304297615,0.537047304297615
LBN,12-24m,54,0.33421718881446,0.144870338671887,0.559908112474893
LBN,24-50m,32,0.377800181607296,0.259891835691682,0.54722407115615
LBR,12-24m,14,0.464071298213358,0.289361469997235,0.64358975269996
LBR,24-50m,17,0.456845697134576,0.276692447131352,0.595805520630179
LBR,Over 50m,16,0.360337971994209,0.321836999372106,0.745949641023775
LBY,12-24m,3,0.696522591750049,0.527293467160599,0.767817492158633
LBY,24-50m,71,0.583090547553491,0.474480056511601,0.753945598496838
LBY,,3,0.859766767464082,0.840779297606213,0.878032611340056
LCA,12-24m,8,0.437829458183004,0.320028000977364,0.642748608606595
LCA,24-50m,3,0.727113932408579,0.668528280937694,0.796104272797262
LIE,12-24m,11,0.50255327836094,0.390677728381147,0.551813625828187
LIE,24-50m,5,0.682789353813278,0.68011969336417,0.685289116386428
LKA,12-24m,2671,0.507093862961033,0.379087120697963,0.661884282681175
LKA,24-50m,3404,0.500173934762543,0.398638937303104,0.644034923267317
LKA,Over 50m,3,0.769114940904856,0.678886638327406,0.813953115812591
LKA,,118,0.684610828840626,0.500116290520739,0.851533677168331
LSO,24-50m,7,0.408473912942382,0.284015742388959,0.604415333990569
LTU,12-24m,57,0.326033722145323,0.282538173495772,0.404553349732177
LTU,24-50m,134,0.420793100740984,0.265697192468173,0.532914831053592
LTU,Over 50m,60,0.393388056630908,0.200790944391729,0.539084197849868
LUX,12-24m,17,0.288735772231068,0.194541949297332,0.388102662269348
LUX,24-50m,11,0.423563336534211,0.194169056674437,0.632080951568212
LVA,12-24m,143,0.310784161627276,0.242844232131272,0.43389050873881
LVA,24-50m,339,0.466179142079535,0.378848593812079,0.584946303909619
LVA,Over 50m,24,0.3693326277467,0.193712652071488,0.391597315176863
LVA,,5,0.339573004761541,0.302108499457135,0.351241562775684
MAC,12-24m,11,0.0965697000598852,0.0470553662832827,0.383144122943254
MAC,24-50m,20,0.582123661039372,0.363811211938565,0.755644473640115
MAR,12-24m,65,0.394671425783358,0.261804636220957,0.504193137583359
MAR,24-50m,562,0.213357600633185,0.112264977179154,0.386234250742241
MAR,Over 50m,143,0.462716104207312,0.33764528138078,0.574877293005111
MAR,,1,0.370665932495592,0.370665932495592,0.370665932495592
MCO,12-24m,12,0.523209927725463,0.313132581902463,0.613455808607812
MCO,24-50m,2,0.745312195146239,0.70685653001809,0.783767860274387
MDA,12-24m,25,0.551748991825397,0.447033309337538,0.646070449166964
MDA,24-50m,23,0.43092587835804,0.303153568312647,0.579729645578709
MDG,12-24m,7,0.371741340800455,0.306352712792205,0.406644097625765
MDG,24-50m,86,0.156494561937406,0.121108089840793,0.207218493392039
MDG,,3,0.62840339505781,0.481033367509467,0.742696150933515
MDV,12-24m,22,0.396226937501421,0.222188401310612,0.517448110718277
MDV,24-50m,28,0.273512648653723,0.18557148840581,0.455534319741445
MDV,Over 50m,5,0.440560221388059,0.415637597449719,0.490423911051239
MDV,,1,0.537250577355432,0.537250577355432,0.537250577355432
MEX,12-24m,30,0.456885074311519,0.317024868825295,0.68420290449484
MEX,24-50m,27,0.439495938586893,0.38466055728266,0.671154762068729
MEX,6-12m,2,0.803176683439126,0.799981296589911,0.806372070288342
MEX,Over 50m,327,0.690694308377075,0.650068417859897,0.74688838605289
MEX,,1,0.473216422358843,0.473216422358843,0.473216422358843
MHL,12-24m,16,0.594125684361468,0.42679640218078,0.786014295360247
MHL,24-50m,58,0.515698543295443,0.417320455226402,0.576415793719347
MHL,Over 50m,89,0.70122613331788,0.664630384212887,0.730324002162567
MKD,12-24m,13,0.532812132290386,0.464191900307611,0.706012162562042
MLI,12-24m,3,0.212028784623018,0.191930306217534,0.51082752630409
MLI,24-50m,1,0.785570308846028,0.785570308846028,0.785570308846028
MLT,12-24m,317,0.389389594428513,0.263663783506864,0.52857483847724
MLT,24-50m,151,0.309378277939043,0.181803126601748,0.454984073622466
MLT,6-12m,1,0.812080924952564,0.812080924952564,0.812080924952564
MLT,,4,0.691166977444842,0.666591740679993,0.712007468601145
MMR,12-24m,93,0.530034077468614,0.36739915672669,0.738840723126038
