"rgn_typ","ant_typ","rgn_id","ant_id","rgn_nam","rgn_key","are_km2"
"eez","eez","76","76","Turkey","TUR",255925.882674
"land","land","76","76","Turkey","TUR",782205.134563
"eez","eez","77","77","Syria","SYR",10203.611224
"land","land","77","77","Syria","SYR",188495.225035
"eez","eez","78","78","Lebanon","LBN",19315.8441285
"land","land","78","78","Lebanon","LBN",10193.0190512
"eez","eez","79","79","Israel","ISR",27855.0547776
"land","land","79","79","Israel","ISR",21134.4467452
"eez","eez","8","8","Palau","PLW",608166.958988
"land","land","8","8","Palau","PLW",501.102040149
"eez","eez","80","80","Greece","GRC",494172.449687
"land","land","80","80","Greece","GRC",133219.937894
"eez","eez","81","81","Cyprus","CYP",98279.5047122
"land","land","81","81","Cyprus","CYP",9339.43471335
"eez","eez","82","82","Albania","ALB",11199.391813
"land","land","82","82","Albania","ALB",28779.2103252
"eez","eez","84","84","Algeria","DZA",128992.992314
"land","land","84","84","Algeria","DZA",2326388.46542
"eez","eez","85","85","Ascension","ASC",444512.2526
