"rgn_typ","ant_typ","rgn_id","ant_id","rgn_nam","rgn_key","are_km2"
"land","land","163","163","United States","USA",9487923.36012
"eez","eez","164","164","Belize","BLZ",36249.8346044
"land","land","164","164","Belize","BLZ",22150.9914463
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",18395.6397488
"land-disputed","land-disputed","255","255","DISPUTED","XD",2.13172987635
"eez","eez","166","166","Jamaica","JAM",246488.447711
"land","land","166","166","Jamaica","JAM",11058.9417048
"eez","eez","167","167","Guyana","GUY",136909.972094
"land","land","167","167","Guyana","GUY",212102.939632
"eez","eez","168","168","Suriname","SUR",128363.011782
"land","land","168","168","Suriname","SUR",146628.802338
"eez","eez","169","169","French Guiana","GUF",136563.775857
"land","land","169","169","French Guiana","GUF",83386.0751176
"eez","eez","17","17","Papua New Guinea","PNG",2407382.25276
"land","land","17","17","Papua New Guinea","PNG",467423.703261
"eez","eez","171","171","Brazil","BRA",3672584.29126
"land","land","171","171","Brazil","BRA",8527194.12256
"eez","eez","172","172","Argentina","ARG",1083150.52637
"land","land","172","172","Argentina","ARG",2788692.93524
"eez","eez","173","173","Uruguay","URY",130097.971095
"land","land","173","173","Uruguay","URY",178270.62352
"eez","eez","174","174","Finland","FIN",79467.828702
"land","land","174","174","Finland","FIN",338371.651976
"eez","eez","175","175","Denmark","DNK",100613.400453
"land","land","175","175","Denmark","DNK",44950.769697
"eez","eez","176","176","Germany","DEU",56357.9233539
"land","land","176","176","Germany","DEU",357274.104984
"eez","eez","177","177","Netherlands","NLD",64204.9916985
"land","land","177","177","Netherlands","NLD",35126.2486376
"eez","eez","178","178","Poland","POL",31945.6484321
"land","land","178","178","Poland","POL",311152.363859
"eez","eez","179","179","France","FRA",343866.251961
"land","land","179","179","France","FRA",548887.673673
"eez","eez","18","18","Fiji","FJI",1293035.66924
"land","land","18","18","Fiji","FJI",19154.9253856
"eez","eez","180","180","United Kingdom","GBR",723406.80786
"land","land","180","180","United Kingdom","GBR",246009.312219
"eez","eez","181","181","Ireland","IRL",426441.724536
"land","land","181","181","Ireland","IRL",70013.5953841
"eez","eez","182","182","Spain","ESP",555707.223459
"land","land","182","182","Spain","ESP",499269.441845
"eez","eez","183","183","Portugal","PRT",311717.992704
"land","land","183","183","Portugal","PRT",89024.4365524
"eez","eez","184","184","Italy","ITA",538881.000468
"land","land","184","184","Italy","ITA",301560.204037
"eez","eez","185","185","Monaco","MCO",284.331023168
"land","land","185","185","Monaco","MCO",11.217241685
"eez","eez","186","186","Montenegro","MNE",7459.24658513
"land","land","186","186","Montenegro","MNE",13844.390095
"eez","eez","187","187","Croatia","HRV",55462.3496455
"land","land","187","187","Croatia","HRV",56686.5316405
"eez","eez","188","188","Slovenia","SVN",186.313780278
"land","land","188","188","Slovenia","SVN",20425.4903382
"eez","eez","189","189","Lithuania","LTU",6125.64876457
"land","land","189","189","Lithuania","LTU",64842.6422805
"eez","eez","19","19","Tuvalu","TUV",751275.525556
"land","land","19","19","Tuvalu","TUV",41.7959499132
"eez","eez","190","190","Qatar","QAT",31987.676133
"land","land","190","190","Qatar","QAT",11156.4220437
"eez","eez","191","191","Iran","IRN",163764.703229
"eez-inland","eez-inland","191","191","Iran","IRN",61035.8692793
"land","land","191","191","Iran","IRN",1627927.17136
"eez","eez","192","192","Iraq","IRQ",595.827362512
"land","land","192","192","Iraq","IRQ",437494.733516
"eez","eez","193","193","Guinea Bissau","GNB",106506.62063
"land","land","193","193","Guinea Bissau","GNB",34067.7597725
"eez","eez","194","194","Guinea","GIN",110136.291533
"land","land","194","194","Guinea","GIN",246305.023823
"eez","eez","195","195","Ivory Coast","CIV",174842.242742
"land","land","195","195","Ivory Coast","CIV",324306.957592
"eez","eez","196","196","Nigeria","NGA",182874.660848
"land","land","196","196","Nigeria","NGA",914788.032313
"eez","eez","197","197","Cameroon","CMR",14704.2563269
"land","land","197","197","Cameroon","CMR",467631.170994
"eez","eez","198","198","Gabon","GAB",193292.328729
"land","land","198","198","Gabon","GAB",263930.188809
"eez","eez","199","199","Democratic Republic of the Congo","COD",13265.4038508
"land","land","199","199","Democratic Republic of the Congo","COD",2342411.56805
"eez","eez","2","2","Christmas Island","CXR",330035.519533
"land","land","2","2","Christmas Island","CXR",142.416607492
"eez","eez","20","20","South Korea","KOR",324993.775336
"land","land","20","20","South Korea","KOR",99590.70269
"eez","eez","200","200","Angola","AGO",493753.372908
"land","land","200","200","Angola","AGO",1254410.71553
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",34769.8121293
"eez","eez","202","202","Tanzania","TZA",243129.576634
"land","land","202","202","Tanzania","TZA",947304.67371
"eez","eez","203","203","India","IND",1637705.82252
"land","land","203","203","India","IND",3161443.05664
"eez","eez","204","204","Bangladesh","BGD",84563.2563621
"land","land","204","204","Bangladesh","BGD",139812.143646
"eez","eez","205","205","Myanmar","MMR",514147.233008
"land","land","205","205","Myanmar","MMR",674213.597623
"eez","eez","206","206","Malaysia","MYS",451796.70162
"land","land","206","206","Malaysia","MYS",331845.426077
"eez","eez","207","207","Vietnam","VNM",647232.077085
"land","land","207","207","Vietnam","VNM",329152.045726
"eez","eez","208","208","Singapore","SGP",762.687331733
"land","land","208","208","Singapore","SGP",604.644102308
"eez","eez","209","209","China","CHN",878363.96899
"land","land","209","209","China","CHN",9395292.98251
"eez","eez","21","21","North Korea","PRK",115967.30285
"land","land","21","21","North Korea","PRK",122346.320333
"eez","eez","210","210","Japan","JPN",4040612.34213
"land","land","210","210","Japan","JPN",374084.635914
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",83760.5785187
"eez","eez","212","212","Kiribati","KIR",1055117.01701
"land","land","212","212","Kiribati","KIR",356.910725703
"eez","eez","214","214","Egypt","EGY",236612.008503
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",25932.8904111
"land","land","214","214","Egypt","EGY",1002981.36001
"land-disputed","land-disputed","255","255","DISPUTED","XD",75.6408645063
"eez","eez","215","215","Jordan","JOR",93.6667025216
"land","land","215","215","Jordan","JOR",95371.7815888
"eez","eez","216","216","Indonesia","IDN",5947885.10452
"land","land","216","216","Indonesia","IDN",1906295.67277
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",73342.947842
"land-disputed","land-disputed","255","255","DISPUTED","XD",8.12467253228
"eez","eez","218","218","Canada","CAN",5698085.41588
"land","land","218","218","Canada","CAN",9955655.32807
"eez","eez","219","219","Saint Pierre and Miquelon","SPM",12367.3042162
"land","land","219","219","Saint Pierre and Miquelon","SPM",236.992308699
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",294652.904878
"land-disputed","land-disputed","255","255","DISPUTED","XD",12.6009471609
"eez","eez","220","220","Sint Maarten","SXM",497.50356338
"land","land","220","220","Sint Maarten","SXM",40.0970052217
"eez","eez","221","221","Northern Saint-Martin","MAF",5386.64764732
"land","land","221","221","Northern Saint-Martin","MAF",81.0469148525
"eez","eez","222","222","Sweden","SWE",154980.513265
"land","land","222","222","Sweden","SWE",449618.086724
"eez","eez","223","223","Norway","NOR",1716658.86486
"land","land","223","223","Norway","NOR",394617.770157
"eez","eez","224","224","Chile","CHL",3657312.86523
"land","land","224","224","Chile","CHL",756842.355857
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",66490.1107435
"land-disputed","land-disputed","255","255","DISPUTED","XD",0.159295238957
"eez","eez","227","227","Jersey","JEY",2962.10397851
"land","land","227","227","Jersey","JEY",125.218656981
"eez","eez","228","228","Guernsey","GGY",8672.6488605
"land","land","228","228","Guernsey","GGY",85.5614609696
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",441711.177374
"land-disputed","land-disputed","255","255","DISPUTED","XD",21.8698333551
"eez","eez","231","231","East Timor","TLS",40225.6748096
"land","land","231","231","East Timor","TLS",14307.6417575
"eez","eez","232","232","Bosnia and Herzegovina","BIH",12.7630587776
"land","land","232","232","Bosnia and Herzegovina","BIH",51542.7983564
"eez","eez","237","237","Oecussi Ambeno","TLS",2275.55962631
"land","land","237","237","Oecussi Ambeno","TLS",801.810034626
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",35058.8177345
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",3740.4442619
"land-disputed","land-disputed","255","255","DISPUTED","XD",217.907358902
"eez","eez","24","24","Cambodia","KHM",47966.8393766
"land","land","24","24","Cambodia","KHM",183191.119009
"eez-inland","eez-inland","255","255","Azerbaijan","AZE",79032.1482973
"land-noeez","land-noeez","255","255","Azerbaijan","AZE",86147.8518291
"eez-inland","eez-inland","255","255","Kazakhstan","KAZ",119085.030727
"land-noeez","land-noeez","255","255","Kazakhstan","KAZ",2721398.16552
"eez-inland","eez-inland","255","255","Turkmenistan","TKM",77885.1603382
"land-noeez","land-noeez","255","255","Turkmenistan","TKM",472313.209447
"eez","eez","244","244","Curacao","CW",30535.0207162
"land","land","244","244","Curacao","CW",450.975914746
"eez","eez","245","245","Bonaire","BQ",13391.1657371
"land","land","245","245","Bonaire","BQ",286.547345115
"eez","eez","247","247","Brunei","BRN",25698.4627065
"land","land","247","247","Brunei","BRN",5913.94929606
"eez","eez","248","248","Saba","BES",9483.7767842
"land","land","248","248","Saba","BES",14.1526763643
"eez","eez-ccamlr","213","248100","Antarctica","ATA",669693.293847
"land","land-ccamlr","213","248100","Antarctica","ATA",139931.279861
"eez","eez-ccamlr","213","248200","Antarctica","ATA",693182.240644
"land","land-ccamlr","213","248200","Antarctica","ATA",610.742550229
"eez","eez-ccamlr","213","248300","Antarctica","ATA",281436.047499
"eez","eez-ccamlr","213","248400","Antarctica","ATA",403257.268458
"eez","eez-ccamlr","213","248500","Antarctica","ATA",2612642.59684
"land","land-ccamlr","213","248500","Antarctica","ATA",1827792.78098
"eez","eez-ccamlr","213","248600","Antarctica","ATA",5962147.86551
"land","land-ccamlr","213","248600","Antarctica","ATA",1331199.25503
"eez","eez","249","249","Sint Eustatius","ANT",2237.40364651
"land","land","249","249","Sint Eustatius","ANT",22.1536584964
"eez","eez","25","25","Thailand","THA",306890.518478
"land","land","25","25","Thailand","THA",517090.172759
"eez","eez","250","250","Aruba","AW",25213.9149738
"land","land","250","250","Aruba","AW",189.420160687
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",46361.8512773
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",51682.611682
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",49750.2307349
"eez","eez-ccamlr","213","258410","Antarctica","ATA",4599401.94544
"land","land-ccamlr","213","258410","Antarctica","ATA",2061485.46591
"eez","eez-ccamlr","213","258420","Antarctica","ATA",1553747.22694
"land","land-ccamlr","213","258420","Antarctica","ATA",2540787.52518
"eez","eez-ccamlr","213","258431","Antarctica","ATA",493137.823871
"eez","eez-ccamlr","213","258432","Antarctica","ATA",652337.201205
"eez","eez-ccamlr","213","258441","Antarctica","ATA",1071731.68225
"eez","eez-ccamlr","213","258442","Antarctica","ATA",1411000.87437
"eez","eez-ccamlr","213","258510","Antarctica","ATA",514639.977994
"eez","eez-ccamlr","213","258520","Antarctica","ATA",241753.45682
"eez","eez-ccamlr","213","258600","Antarctica","ATA",330317.467185
"eez","eez-ccamlr","213","258700","Antarctica","ATA",138044.817384
"eez","eez","26","26","Andaman and Nicobar","IND",663520.443845
"land","land","26","26","Andaman and Nicobar","IND",7799.5660007
