"pixel_id","eez_id"
5281,2165
5282,2165
5283,2165
5284,2165
5285,2165
5286,2165
5639,2165
5640,2165
5641,2165
5642,2165
5643,2165
5644,2165
5645,2165
5646,2165
5647,2149
5648,2149
5649,2149
5650,2149
5651,2149
5869,2147
5870,2147
5871,2147
5872,2147
5873,2147
5874,2147
5875,2147
5996,2165
5997,2165
5998,2165
5999,2165
6000,2165
6001,2165
6002,2165
6003,2165
6004,2165
6005,2165
6006,2165
6007,2149
6008,2149
6009,2149
6010,2149
6011,2149
6012,2149
6013,2149
6014,2149
6227,2147
6228,2147
6229,2147
6230,2147
6231,2147
6232,2147
6233,2147
6234,2147
6235,2147
6236,2147
6237,2147
6355,2165
6356,2165
6357,2165
6358,2165
6359,2165
6360,2165
6361,2165
6362,2165
6363,2165
6364,2165
6365,2165
6366,2165
6367,2149
6368,2149
6369,2149
6370,2149
6371,2149
6372,2149
6373,2149
6374,2149
6375,2149
6503,2147
6504,2147
6505,2147
6506,2147
6507,2147
6508,2147
6509,2147
6510,2147
6587,2147
6588,2147
6589,2147
6590,2147
6591,2147
6592,2147
6593,2147
6594,2147
6595,2147
6596,2147
6597,2147
6598,2147
6714,2165
6715,2165
6716,2165
6717,2165
6718,2165
6719,2165
6720,2165
6721,2165
6722,2165
6723,2165
6724,2165
6725,2165
6726,2165
6727,2165
6728,2149
6729,2149
6730,2149
6731,2149
6732,2149
6733,2149
6734,2149
6735,2149
6862,2147
6863,2147
6864,2147
6865,2147
6866,2147
6867,2147
6868,2147
6869,2147
6870,2147
6871,2147
6872,2147
6946,2147
6947,2147
6948,2147
6949,2147
6950,2147
6951,2147
6952,2147
6953,2147
6954,2147
6955,2147
6956,2147
6957,2147
6958,2147
6959,2227
6960,2227
6961,2227
6962,2227
6963,2227
6964,2227
6965,2227
6966,2227
6967,2227
7074,2165
7075,2165
7076,2165
7077,2165
7078,2165
7079,2165
7080,2165
7081,2165
7082,2165
7083,2165
7084,2165
7085,2165
7086,2149
7087,2149
7088,2149
7089,2149
7090,2149
7091,2149
7092,2149
7093,2149
7221,2147
7222,2147
7223,2147
7224,2147
7225,2147
7226,2147
7227,2147
7228,2147
7229,2147
7230,2147
7231,2147
7232,2147
7233,2147
7306,2147
7307,2147
7308,2147
7309,2147
7310,2147
7311,2147
7312,2147
7313,2147
7314,2147
7315,2147
7316,2147
7317,2147
7318,2147
7319,2227
7320,2227
7321,2227
7322,2227
7323,2227
7324,2227
7325,2227
7326,2227
7327,2227
7328,2227
7433,2165
7434,2165
7435,2165
7436,2165
7437,2165
7438,2165
7439,2165
7440,2165
7441,2165
7442,2165
7443,2165
7444,2165
7445,2149
7446,2149
7447,2149
7448,2149
7449,2149
7450,2149
7451,2149
7452,2149
7580,17
7581,2147
7582,2147
7583,2147
7584,2147
7585,2147
7586,2147
7587,2147
7588,2147
7589,2147
7590,2147
7591,2147
7592,2147
7593,2147
7667,2147
7668,2147
7669,2147
7670,2147
7671,2147
7672,2147
7673,2147
7674,2147
7675,2147
7676,2147
7677,2147
7678,2227
7679,2227
7680,2227
7681,2227
7682,2227
7683,2227
7684,2227
7685,2227
7686,2227
7687,2227
7688,2227
7691,2227
7692,2227
7693,2227
7694,2227
7695,2227
7696,2227
7793,2165
7794,2165
7795,2165
7796,2165
7797,2165
7798,2165
7799,2165
7800,2165
7801,2165
7802,2165
7803,2165
7804,2165
7805,2149
7806,2149
7807,2149
7808,2149
7809,2149
7810,2149
7938,17
7939,17
7940,17
7941,17
7942,17
7943,2147
7944,2147
7945,2147
7946,2147
7947,2147
7948,2147
7949,2147
7950,2147
7951,2147
7952,2147
7953,2147
8027,2147
8028,2147
8029,2147
8030,2147
8031,2147
8032,2147
8033,2147
8034,2147
8035,2147
8036,2227
8037,2227
8038,2227
8039,2227
8040,2227
8041,2227
8042,2227
8043,2227
8044,2227
8045,2227
8046,2227
8047,2227
8048,2227
8049,2227
8050,2227
8051,2227
8052,2227
8053,2227
8054,2227
8055,2227
8056,2227
8057,2227
8153,2165
8154,2165
8155,2165
8156,2165
8157,2165
8158,2165
8159,2165
8160,2165
8161,2165
8162,2149
8163,2149
8164,2149
8165,2149
8166,2149
8167,2149
8295,17
8296,17
8297,17
8298,17
8299,17
8300,17
8301,17
8302,17
8303,2147
8304,2147
8305,2147
8306,2147
8307,2147
8308,2147
8309,2147
8310,2147
8311,2147
8387,2147
8388,2147
8389,2147
8390,2147
8391,2147
8392,2147
8393,2227
8394,2227
8395,2227
8396,2227
8397,2227
8398,2227
8399,2227
8400,2227
8401,2227
8402,2227
8403,2227
8404,2227
8405,2227
8406,2227
8407,2227
8408,2227
8409,2227
8410,2227
8411,2227
8412,2227
8413,2227
8414,2227
8415,2227
8511,2165
8512,2165
8513,2165
8514,2165
8515,2165
8516,2165
8517,2165
8518,2165
8519,2149
8520,2149
8521,2149
8522,2149
8523,2149
8524,2149
8624,2176
8625,2176
8626,2176
8627,2176
8628,2176
8652,17
8653,17
8654,17
8655,17
8656,17
8657,17
8658,17
8659,17
8660,17
8661,17
8662,17
8663,2147
8664,2147
8665,2147
8666,2147
8667,2147
8749,2227
8750,2227
8751,2227
8752,2227
8753,2227
8754,2227
8755,2227
8756,2227
8757,2227
8758,2227
8759,2227
8760,2227
8761,2227
8762,2227
8763,2227
8764,2227
8765,2227
8766,2227
8767,2227
8768,2227
8769,2227
8770,2227
8771,2227
8772,2227
8868,2165
8869,2165
8870,2165
8871,2165
8872,2165
8873,2165
8874,2165
8875,2165
8876,2149
8877,2149
8878,2149
8879,2149
8880,2149
8881,2149
8882,2149
8978,2176
8979,2176
8980,2176
8981,2176
8982,2176
8983,2176
8984,2176
8985,2176
8986,2176
8992,17
8993,17
8994,17
8995,17
8996,17
8997,17
8998,17
8999,17
9000,17
9008,17
9009,17
9010,17
9011,17
9012,17
9013,17
9014,17
9015,17
9016,17
9017,17
9018,17
9019,17
9020,17
9021,2147
9105,2227
9106,2227
9107,2227
9108,2227
9109,2227
9110,2227
9111,2227
9112,2227
9113,2227
9114,2227
9115,2227
9116,2227
9117,2227
9118,2227
9119,2227
9120,2227
9121,2227
9122,2227
9123,2227
9124,2227
9125,2227
9126,2227
9127,2227
9128,2227
9129,2227
9224,2165
9225,2165
9226,2165
9227,2165
9228,2165
9229,2165
9230,2165
9231,2165
9232,2149
9233,2149
9234,2149
9235,2149
9236,2149
9237,2149
9238,2149
9332,2176
9333,2176
9334,2176
9335,2176
9336,2176
9337,2176
9338,2176
9339,2176
9340,2176
9341,2176
9342,2176
9346,17
9347,17
9348,17
9349,17
9350,17
9351,17
9352,17
9353,17
9354,17
9355,17
9356,17
9363,17
9364,17
9365,17
9366,17
9367,17
9368,17
9369,17
9370,17
9371,17
9372,17
9373,17
9374,17
9375,17
9461,2227
9462,2227
9463,2227
9464,2227
9465,2227
9466,2227
9467,2227
9468,2227
9469,2227
9470,2227
9471,2227
9472,2227
9473,2227
9474,2227
9475,2227
9476,2227
9477,2227
9478,2227
9479,2227
9480,2227
9481,2227
9482,2227
9483,2227
9484,2227
9485,2227
9486,2227
9487,2227
9579,2165
9580,2165
9581,2165
9582,2165
9583,2165
9584,2165
9585,2165
9586,2165
9587,2149
9588,2149
9589,2149
9590,2149
9591,2149
9592,2149
9593,2149
9686,2176
9687,2176
9688,2176
9689,2176
9690,2176
9691,2176
9692,2176
9693,2176
9694,2176
9695,2176
9696,2176
9699,17
9700,17
9701,17
9702,17
9703,17
9704,17
9705,17
9706,17
9707,17
9708,17
9709,17
9710,17
9711,17
9717,17
9718,17
9719,17
9720,17
9721,17
9722,17
9723,17
9724,17
9725,17
9726,17
9727,17
9728,17
9729,17
9799,2147
9800,2147
9801,2147
9802,2147
9815,2227
9816,2227
9817,2227
9818,2227
9819,2227
9820,2227
9821,2227
9822,2227
9823,2227
9824,2227
9825,2227
9826,2227
9827,2227
9828,2227
9829,2227
9830,2227
9831,2227
9832,2227
9833,2227
9834,2227
9835,2227
9836,2227
9837,2227
9838,2227
9839,2227
9840,2227
9841,2227
9842,2227
9933,2165
9934,2165
9935,2165
9936,2165
9937,2165
9938,2165
9939,2165
9940,2165
9941,2149
9942,2149
9943,2149
9944,2149
9945,2149
9946,2149
9947,2149
9948,2149
10041,2176
10042,2176
10043,2176
10044,2176
10045,2176
10046,2176
10047,2176
10048,2176
10049,2176
10050,2176
10051,2176
10054,17
10055,17
10056,17
10057,17
10058,17
10059,17
10060,17
