"MRGID","MRGID_SOV1","TERRITORY1","ISO_TER1","SOVEREIGN1","ISO_SOV1","GEONAME"
8488,2116,"Gilbert Islands","KIR","Kiribati","KIR","Kiribati Exclusive Economic Zone (Gilbert Islands)"
8403,2166,"Galapagos",NA,"Ecuador","ECU","Ecuadorian Exclusive Economic Zone (Galapagos)"
8431,2166,"Ecuador","ECU","Ecuador","ECU","Ecuadorian Exclusive Economic Zone"
8397,2238,"Sao Tome and Principe","STP","Sao Tome and Principe","STP","São Toméan Exclusive Economic Zone"
8316,8595,"Micronesia","FSM","Micronesia","FSM","Micronesian Exclusive Economic Zone"
8398,2112,"Equatorial Guinea","GNQ","Equatorial Guinea","GNQ","Equatorial Guinean Exclusive Economic Zone"
8345,2229,"Maldives","MDV","Maldives","MDV","Maldivian Exclusive Economic Zone"
8324,2237,"Papua New Guinea","PNG","Papua New Guinea","PNG","Papua New Guinean Exclusive Economic Zone"
8350,2187,"Federal Republic of Somalia","SOM","Federal Republic of Somalia","SOM","Somali Exclusive Economic Zone"
8317,8596,"Nauru","NRU","Nauru","NRU","Nauruan Exclusive Economic Zone"
8476,2104,"Gabon","GAB","Gabon","GAB","Gabonese Exclusive Economic Zone"
8492,2127,"Indonesia","IDN","Indonesia","IDN","Indonesian Exclusive Economic Zone"
48978,2204,"United States","USA","United States","USA","Joint regime area: United States / Russia"
5677,17,"France","FRA","France","FRA","French Exclusive Economic Zone"
8378,2152,"Algeria","DZA","Algeria","DZA","Algerian Exclusive Economic Zone"
8400,2100,"Ghana","GHA","Ghana","GHA","Ghanaian Exclusive Economic Zone"
8438,2157,"Greenland","GRL","Denmark","DNK","Danish Exclusive Economic Zone (Greenland)"
5696,2208,"United Kingdom","GBR","United Kingdom","GBR","British Exclusive Economic Zone"
8453,2204,"Hawaii",NA,"United States","USA","United States Exclusive Economic Zone (Hawaii)"
33181,2252,"Svalbard","SJM","Norway","NOR","Norwegian Exclusive Economic Zone (Svalbard)"
5686,2252,"Norway","NOR","Norway","NOR","Norwegian Exclusive Economic Zone"
5690,2240,"Russia","RUS","Russia","RUS","Russian Exclusive Economic Zone"
8437,2252,"Jan Mayen","SJM","Norway","NOR","Norwegian Exclusive Economic Zone (Jan Mayen)"
8463,2204,"Alaska",NA,"United States","USA","United States Exclusive Economic Zone (Alaska)"
5693,2185,"Spain","ESP","Spain","ESP","Spanish Exclusive Economic Zone"
62589,8614,"Chagos Archipelago",NA,"Republic of Mauritius","MUS","Mauritian Exclusive Economic Zone (Chagos Archipelago)"
8383,2208,"South Georgia and the South Sandwich Islands","SGS","United Kingdom","GBR","Overlapping claim South Georgia and the South Sandwich Islands: United Kingdom / Argentina"
8402,2208,"Bermuda","BMU","United Kingdom","GBR","British Exclusive Economic Zone (Bermuda)"
8456,2204,"United States","USA","United States","USA","United States Exclusive Economic Zone"
8355,2183,"Sudan","SDN","Sudan","SDN","Sudanese Exclusive Economic Zone"
64446,2208,"Isle of Man","IMN","United Kingdom","GBR","British Exclusive Economic Zone (Isle of Man)"
64460,2125,"Iraq","IRQ","Iraq","IRQ","Overlapping claim: Iraq / Iran"
64430,3868,"Egypt","EGY","Egypt","EGY","Overlapping claim: Egypt / Libya"
64431,8681,"Belize","BLZ","Belize","BLZ","Overlapping claim: Belize / Honduras"
64459,2252,"Norway","NOR","Norway","NOR","Joint regime area: Norway / Russia"
64440,2230,"Malaysia","MYS","Malaysia","MYS","Overlapping claim: Malaysia / Singapore"
99999,99999,NA,NA,"High seas","HSX","High seas region"
999999,999999,NA,NA,"Land","LND","Land region"
