"NAME_EN","ID_mrgd","nm_mrgd","continent","fao_official","Country_FAO","figure_name"
NA,8397,"Sao Tome and Principe Exclusive Economic Zone","Africa","the Democratic Republic of Sao Tome and Principe","the Democratic Republic of Sao Tome and Principe","Sao Tome and Principe"
NA,8316,"Micronesian Exclusive Economic Zone","Oceania","the Federated States of Micronesia","the Federated States of Micronesia","Micronesia (Federated States of)"
NA,8398,"Equatorial Guinean Exclusive Economic Zone","Africa","the Republic of Equatorial Guinea","the Republic of Equatorial Guinea","Equatorial Guinea"
NA,8345,"Maldives Exclusive Economic Zone","Asia","the Republic of Maldives","the Republic of Maldives","Maldives"
NA,8324,"Papua New Guinean Exclusive Economic Zone","Oceania","the Independent State of Papua New Guinea",NA,"Papua New Guinea"
NA,8350,"Somali Exclusive Economic Zone","Africa","the Federal Republic of Somalia","the Federal Republic of Somalia","Somalia"
NA,8317,"Nauruan Exclusive Economic Zone","Oceania","the Republic of Nauru","the Republic of Nauru","Nauru"
NA,8476,"Gabonese Exclusive Economic Zone","Africa","the Gabonese Republic","the Gabonese Republic","Gabon"
NA,8492,"Indonesian Exclusive Economic Zone","Asia","the Republic of Indonesia","the Republic of Indonesia","Indonesia"
NA,48978,"Joint regime area United States / Russia","Europe",NA,NA,NA
NA,5677,"French Exclusive Economic Zone","Europe","the French Republic","the French Republic","France"
NA,8378,"Algerian Exclusive Economic Zone","Africa","the People's Democratic Republic of Algeria","the People's Democratic Republic of Algeria","Algeria"
NA,8400,"Ghanaian Exclusive Economic Zone","Africa","the Republic of Ghana","the Republic of Ghana","Ghana"
NA,8438,"Greenlandic Exclusive Economic Zone","Americas","Greenland","the Kingdom of Denmark","Greenland"
NA,5696,"United Kingdom Exclusive Economic Zone","Europe","the United Kingdom of Great Britain and Northern Ireland","the United Kingdom of Great Britain and Northern Ireland","United Kingdom of Great Britain and Northern Ireland"
NA,8453,"United States Exclusive Economic Zone (Hawaii)","Americas","the United States of America (Hawaii)","the United States of America","United States of America (Hawaii)"
NA,33181,"Svalbard Exclusive Economic Zone","Europe","the Svalbard Islands",NA,"Svalbard Islands"
NA,5686,"Norwegian Exclusive Economic Zone","Europe","the Kingdom of Norway","the Kingdom of Norway","Norway"
NA,5690,"Russian Exclusive economic Zone","Europe","the Russian Federation","the Russian Federation","Russian Federation"
NA,8437,"Jan Mayen Exclusive Economic Zone","Europe","the Jan Mayen Island",NA,"Jan Mayen Island"
NA,8463,"United States Exclusive Economic Zone (Alaska)","Americas","the United States of America (Alaska)","the United States of America","United States of America (Alaska)"
NA,5693,"Spanish Exclusive Economic Zone","Europe","the Kingdom of Spain","the Kingdom of Spain","Spain"
NA,62589,"Chagos Archipelago Exclusive Economic Zone","Asia","the Chagos Archipelago","the Republic of Mauritius","Chagos Archipelago"
NA,8402,"Bermudian Exclusive Economic Zone","Americas","Bermuda","the United Kingdom of Great Britain and Northern Ireland","Bermuda"
NA,8456,"United States Exclusive Economic Zone","Americas","the United States of America","the United States of America","United States of America"
NA,8383,"Overlapping claim South Georgia and South Sandwich Islands: UK / Argentina","Americas",NA,NA,NA
NA,62599,"Bouvet Island","Africa",NA,NA,NA
