flag_fin,region,length_category,year,days_at_sea,f_transit_med,s_transit_floor,das_trip_med,radius_km_med
BEN,SubAfrica,12-24m,1963,196.873154667578,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1964,196.87318279585,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1965,196.87315869105,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1966,196.873153394591,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1967,196.873147751446,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1968,196.873223528587,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1969,196.87314463333,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1970,196.873208232317,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1971,196.873121884743,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1972,196.873160498042,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1973,196.873140126111,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1974,196.873135690886,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1975,196.873181903755,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1976,196.873127015997,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1977,196.873197902091,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1978,196.873173903405,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1979,196.873169889805,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1980,196.873135054269,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1981,196.873131326536,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1982,196.873177118048,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1983,196.873141308388,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1984,196.873126217077,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1985,196.873092824342,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1986,196.873164633019,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1987,196.873172072755,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1988,196.873166161323,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1989,196.873134010407,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1990,196.873154594125,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1991,196.873149340339,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1992,196.873161745392,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1993,196.873146980192,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1994,196.873138835805,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1995,196.873162672834,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1996,196.873106914417,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1997,196.87317650792,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1998,196.873137602494,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,1999,196.873149751254,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,2000,196.873111009958,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,2001,196.873158319339,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,2002,196.873191866675,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,2003,197.483448044367,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,2004,197.305806507129,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,2005,197.266548514562,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,2006,197.895693218435,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,2007,196.873098902687,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,2008,196.87316373154,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,2009,196.87319307371,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,2010,196.873108569503,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,2011,196.873115170472,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,2012,196.873167627751,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,2013,196.873171617295,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,2014,196.873149123586,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,2015,196.873158228827,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,2016,196.873141692164,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,12-24m,2017,196.87314444036,0.416359218460038,8,4,296.101352673788
BEN,SubAfrica,24-50m,1958,203.159087371317,0.352401904296619,10,6,469.906795265284
BEN,SubAfrica,24-50m,1959,203.159140268568,0.352401904296619,10,6,469.906795265284
BEN,SubAfrica,24-50m,1960,203.159114519352,0.352401904296619,10,6,469.906795265284
BEN,SubAfrica,24-50m,1961,203.159164308915,0.352401904296619,10,6,469.906795265284
BEN,SubAfrica,24-50m,1963,203.159230617923,0.352401904296619,10,6,469.906795265284
BEN,SubAfrica,24-50m,1964,203.159199617409,0.352401904296619,10,6,469.906795265284
