"eez_sovereign","length_class","s_transit","n","floor_kn","s_transit_floor"
"SOM","Over 50m",10.5621799385805,4630,12,12
"BRB","Over 50m",12.5129515788941,4401,12,12.5129515788941
"MNE","Over 50m",12.3222615739429,4896,12,12.3222615739429
"MHL","Over 50m",10.8397604075562,1971,12,12
"KIR","Over 50m",9.76261562984871,2749,12,12
"CPV","Over 50m",12.0719109214435,3965,12,12.0719109214435
"BEL","Over 50m",12.0685682141882,11836,12,12.0685682141882
"SYR","Over 50m",11.2694945399402,2098,12,12
"COM","Over 50m",12.3344576653277,3540,12,12.3344576653277
"HND","Over 50m",13.1224829339418,3320,12,13.1224829339418
"SVN","Over 50m",12.6309474873426,3802,12,12.6309474873426
"ALB","Over 50m",12.1992293570236,8907,12,12.1992293570236
"PER","Over 50m",13.0357639511497,8386,12,13.0357639511497
"ISR","Over 50m",11.7424328631788,4052,12,12
"KNA","Over 50m",11.975972279993,2870,12,12
"KEN","Over 50m",12.2748592354339,3007,12,12.2748592354339
"RAM","Over 50m",12.5168415230404,6925,12,12.5168415230404
"SUR","Over 50m",12.2292270856482,3692,12,12.2292270856482
"HTI","Over 50m",12.6747517579562,7306,12,12.6747517579562
"NCL","Over 50m",12.8524960131629,3920,12,12.8524960131629
"GRD","Over 50m",12.8492218468692,2823,12,12.8492218468692
"MLT","Over 50m",11.4979231100632,2370,12,12
"LCA","Over 50m",11.3928797081633,775,12,12
"SLV","Over 50m",13.0990114653467,912,12,13.0990114653467
"REU","Over 50m",12.2875037890098,1847,12,12.2875037890098
"LBR","Over 50m",12.6817542572615,2763,12,12.6817542572615
"KHM","Over 50m",12.188921952242,4253,12,12.188921952242
"MYT","Over 50m",12.2394739130756,1723,12,12.2394739130756
"BHR","Over 50m",5.1765330311211,298,12,12
"GNQ","Over 50m",11.9591302606278,1051,12,12
"WLF","Over 50m",10.7794359429799,115,12,12
"GUF","Over 50m",12.587158135759,1842,12,12.587158135759
"VUT","Over 50m",12.2687958104464,1090,12,12.2687958104464
"GRL","Over 50m",9.67944751808086,1580,12,12
"LTU","Over 50m",8.67002008926262,1003,12,12
"TLS","Over 50m",8.9077759953418,613,12,12
"GTM","Over 50m",13.5902153551171,332,12,13.5902153551171
"FSM","Over 50m",12.4052958670533,3281,12,12.4052958670533
"TGO","Over 50m",12.0561679977567,534,12,12.0561679977567
"COD","Over 50m",9.6422101129854,381,12,12
"NRU","Over 50m",10.0863215424864,186,12,12
"COK","Over 50m",13.3871857790276,316,12,13.3871857790276
"WSM","Over 50m",12.176184733223,240,12,12.176184733223
"TUV","Over 50m",10.6890460675484,503,12,12
"IRQ","Over 50m",1.76,1,12,12
"DJI","Over 50m",1.67,1,12,12
