"eez_sovereign","length_class","s_transit","n","floor_kn","s_transit_floor"
"KIR","12-24m",4.25961638789861,401,8,8
"PRT","12-24m",27.5695122712139,7975,8,27.5695122712139
"GRD","12-24m",3.2115935244902,680,8,8
"YEM","12-24m",4.250805073536,1395,8,8
"RAM","12-24m",4.72516357959419,931,8,8
"GIN","12-24m",2.74896871275054,677,8,8
"NLD","12-24m",25.5732130105307,9336,8,25.5732130105307
"MMR","12-24m",2.88062116748009,1126,8,8
"NGA","12-24m",2.88322446403174,2060,8,8
"MYS","12-24m",24.1601520542573,8011,8,24.1601520542573
"MRT","12-24m",4.34823821272271,3355,8,8
"PNG","12-24m",3.83624195824308,1383,8,8
"MAR","12-24m",2.7287277948289,2927,8,8
"DEU","12-24m",2.6561666857939,8150,8,8
"TUR","12-24m",2.86027650642116,14097,8,8
"PHL","12-24m",4.48220488618427,4960,8,8
"TWN","12-24m",4.05428488291466,8924,8,8
"QAT","12-24m",3.03559807246054,2689,8,8
"RUS","12-24m",19.0380685168642,8503,8,19.0380685168642
"CPV","12-24m",3.39324836871122,1412,8,8
"CUB","12-24m",3.31536950093686,839,8,8
"VEN","12-24m",3.92367745085091,4491,8,8
"ECU","12-24m",4.86803483513518,1780,8,8
"PRK","12-24m",2.69041064416988,1759,8,8
"MDV","12-24m",4.46700818921996,977,8,8
"NZL","12-24m",2.9074938865117,7478,8,8
"UKR","12-24m",2.86192409004841,1975,8,8
"TZA","12-24m",25.8412442914326,398,8,25.8412442914326
"KAZ","12-24m",3.17747092396545,612,8,8
"SYC","12-24m",4.4657223461163,910,8,8
"PYF","12-24m",22.5267741245555,3637,8,22.5267741245555
"GRL","12-24m",2.80575091699005,353,8,8
"GLP","12-24m",3.29321254797956,1100,8,8
"GUF","12-24m",4.59211372769504,890,8,8
"POL","12-24m",2.94173949024693,1221,8,8
"GHA","12-24m",2.95402229419691,631,8,8
"SAU","12-24m",3.46799212740383,9636,8,8
"TON","12-24m",3.6826422995397,559,8,8
"LKA","12-24m",2.80172812951019,3311,8,8
"COL","12-24m",3.97457887335611,2296,8,8
"MUS","12-24m",3.95430183082401,881,8,8
"BGR","12-24m",3.51288927033214,1515,8,8
"EST","12-24m",3.75815934729988,1807,8,8
"PAN","12-24m",3.44332018016526,1687,8,8
"STP","12-24m",3.55056293933855,250,8,8
"GNB","12-24m",2.83790112295727,517,8,8
"LTU","12-24m",2.44241981292752,540,8,8
"ZAF","12-24m",3.32269914739747,4589,8,8
"SUR","12-24m",3.87550862169054,1001,8,8
