"year","enso_index_mean","enso_index_sd"
1950,-0.86,0.390849889808909
1951,0.430833333333333,0.645705510322319
1952,0.174166666666667,0.180023146659904
1953,0.713333333333333,0.125360087408838
1954,-0.400833333333333,0.528229604576945
1955,-0.948333333333333,0.368358356478958
1956,-0.5775,0.193490662213029
1957,0.960833333333333,0.612527674081059
1958,0.8325,0.488748401531913
1959,0.136666666666667,0.313407470275108
1960,0.0683333333333333,0.126263313129445
1961,-0.0166666666666667,0.188406395053272
1962,-0.215,0.106728201947325
1963,0.6575,0.620954177785359
1964,-0.341666666666667,0.619278661513588
1965,0.900833333333333,0.937525353192535
1966,0.375,0.551139315830894
1967,-0.306666666666667,0.18651508997365
1968,0.135,0.603934072259848
1969,0.745,0.245597601409667
1970,-0.32,0.56695358155352
1971,-0.94,0.227156333832011
1972,0.9275,0.937541514232352
1973,-0.6175,1.26286200930484
1974,-0.886666666666667,0.455158979884718
1975,-1.0525,0.392176328616699
1976,-0.0491666666666667,0.812722230680584
1977,0.511666666666667,0.220982653919563
1978,-0.0983333333333333,0.347139828608099
1979,0.250833333333333,0.201469976709066
1980,0.253333333333333,0.228128087359764
1981,-0.268333333333333,0.130372426904502
1982,0.99,0.816244170242303
1983,0.48,1.13417971960516
1984,-0.505833333333333,0.279917466190997
1985,-0.598333333333333,0.243341635391791
1986,0.253333333333333,0.622361095613578
1987,1.27666666666667,0.252886368061853
1988,-0.810833333333333,0.895924695834455
1989,-0.605,0.536275031202189
1990,0.315,0.0807352575903602
1991,0.646666666666667,0.393315356548622
1992,0.630833333333333,0.776723401491317
1993,0.3125,0.241703236522506
1994,0.475,0.331292235729341
1995,-0.16,0.702644355922035
1996,-0.46,0.195401684183679
1997,1.17083333333333,1.11678481961985
1998,-0.0575,1.41526178111716
1999,-1.225,0.221913168932027
2000,-0.835833333333333,0.362703443433872
2001,-0.308333333333333,0.175852899959718
2002,0.630833333333333,0.501551381095484
2003,0.250833333333333,0.326787624482861
2004,0.446666666666667,0.215125051722917
2005,0.0408333333333333,0.463140629209145
2006,0.0716666666666667,0.638732172259068
2007,-0.6075,0.691350785846743
2008,-0.781666666666667,0.489449288548473
2009,0.281666666666667,0.814659252061681
2010,-0.479166666666667,1.18864673499155
2011,-0.860833333333333,0.305627769244441
2012,-0.150833333333333,0.434583569394747
2013,-0.3225,0.0900631091866344
2014,0.116666666666667,0.371050923565469
2015,1.46083333333333,0.842598344228714
2016,0.334166666666667,1.16711344259193
2017,-0.204166666666667,0.43845717803418
2018,0.00666666666666668,0.653776905698146
2019,0.4875,0.209333357459948
2020,-0.359166666666667,0.667961054027082
2021,-0.7225,0.242191697177707
2022,-0.938333333333333,0.0775574078676661
2023,0.8125,0.932982753421422
2024,0.351666666666667,0.761921414861298
